#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            8234.471294067993     All      0.22169462945057006        -0.0042557494536410445     0.15857265442754362       -0.06652310268652692      
Zeropoint     AB|SDSS|SDSS_u            3323.9559703674654    All      -0.17115810313076898       0.12869481140178607        0.1295999101580972        0.10345540789062357       
Zeropoint     AB|SDSS|SDSS_r            5711.365680354199     All      0.7202085978335326         0.2369774703796068         -0.6547799841320411       -0.18662409943974445      
Zeropoint     AB|SDSS|SDSS_i            6926.029132485027     All      0.7847768158217625         0.048011163004701984       0.7022464331434521        -0.2086507789825432       
Zeropoint     AB|SDSS|SDSS_g            4370.828087493934     All      -0.5614246287654838        0.591204106206078          -0.3271063680673078       0.3608518444776354        
Check         All|All|All               All                   All      0.9940973112096123         1.0006318015385318         0.008532645529744032      0.0025092712594444455     
Lambda        AB|SDSS|SDSS_z            8234.471294067993     All      -5.4486462458404114e-06    3.036298973398672e-06      2.3936301387706278e-05    3.831992999789852e-06     
Lambda        AB|SDSS|SDSS_u            3323.9559703674654    All      -0.00011181760199444299    8.991891193798995e-05      0.00010427865578674016    7.036569699518448e-05     
Lambda        AB|SDSS|SDSS_r            5711.365680354199     All      -0.00019257696560303367    -0.00010936186695981326    -0.000419994197197289     8.363483266186264e-06     
Lambda        AB|SDSS|SDSS_i            6926.029132485027     All      -0.0005380527028479771     -7.705410247037708e-05     -0.0009191949503961065    0.00010914296161997833    
Lambda        AB|SDSS|SDSS_g            4370.828087493934     All      -0.0003917289865475466     0.00014255478333432972     -0.0010781564281802725    0.00012592063166813649    
MWEBV         All|All|All               All                   All      -0.8792948450241043        -3.559154255391661         0.35495145337722245       -0.8570785215813933       
Redshift      All|All|All               All                   All      6.643751445674478          1.139764838952928          5.644780577801269         -1.5409288819422724       
