#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3154.936643852051    All      -0.12060684081070892      0.07290798671064636       0.11975495525258421        0.06837825941073594       
Zeropoint     AB|SDSS|SDSS_z            7815.757928204718    All      0.13910593623708617       -0.0022445464871623244    0.112039189381395          -0.04104270807133466      
Zeropoint     AB|SDSS|SDSS_g            4148.576521513891    All      -0.6883296965113569       0.5566431067625999        -0.26137499421777916       0.393864634874958         
Zeropoint     AB|SDSS|SDSS_r            5420.949324246449    All      0.750729933168953         0.35536841997991786       -0.36537060938077043       -0.14508706406325755      
Zeropoint     AB|SDSS|SDSS_i            6573.848541094899    All      0.9119297451460956        0.017937960940983544      0.4015511346399327         -0.27328315269037173      
Check         All|All|All               All                  All      0.9928290772300689        1.0006129279069853        0.006599675675362293       0.0028299694607299974     
Lambda        AB|SDSS|SDSS_u            3154.936643852051    All      -7.839436031439417e-05    4.721961751492259e-05     7.57031462468491e-05       4.42948888811515e-05      
Lambda        AB|SDSS|SDSS_z            7815.757928204718    All      2.522860977576006e-06     1.935812668116585e-06     2.1396966767240118e-05     7.636274064014579e-07     
Lambda        AB|SDSS|SDSS_g            4148.576521513891    All      -0.0006101057449321543    0.000282130765667964      -0.001414817857853646      0.00022749396223914294    
Lambda        AB|SDSS|SDSS_r            5420.949324246449    All      0.00019317897597223257    8.414821983376042e-05     -0.0008079816063743307     -7.157141244682589e-05    
Lambda        AB|SDSS|SDSS_i            6573.848541094899    All      -0.000273127834322747     -2.404399311754888e-05    -0.00033075302823018195    6.637481313930396e-05     
MWEBV         All|All|All               All                  All      -0.8106448245270448       -3.367488862344281        0.23805056226369176        -0.8222251175202314       
Redshift      All|All|All               All                  All      3.6975409048682337        -0.545890686201389        4.833329195206742          -1.1665359906600323       
