#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_g            4172.079315044157     All      -0.8390897285052187       0.6303647178004468        -0.39700698206183627      0.46093305855478633        
Zeropoint     AB|SDSS|SDSS_i            6611.09114808536      All      0.949956700358503         0.009329752332121188      0.4960734549697136        -0.284255662767274         
Zeropoint     AB|SDSS|SDSS_z            7860.036283422837     All      0.1280331199182351        0.0031928086739796413     0.15907777555045452       -0.03356568599147987       
Zeropoint     AB|SDSS|SDSS_u            3172.8102022056205    All      -0.07315345297818018      0.058195859466536604      0.18531608533449415       0.05105459808975326        
Zeropoint     AB|SDSS|SDSS_r            5451.660449386623     All      0.8286110410932597        0.29976730836658305       -0.4324550357906103       -0.1915602842442965        
Check         All|All|All               All                   All      0.9943576798865988        1.0008504466396673        0.011005298002215724      0.0026060236414892635      
Lambda        AB|SDSS|SDSS_g            4172.079315044157     All      -0.0007642913721173447    0.0002891034935653543     -0.002083715824305285     0.00025013869633644137     
Lambda        AB|SDSS|SDSS_i            6611.09114808536      All      -0.0003346815191660521    -2.273772633849541e-05    -0.0003831993801102781    8.450992760666078e-05      
Lambda        AB|SDSS|SDSS_z            7860.036283422837     All      9.250039339913528e-06     2.755067087067678e-06     3.6156238481669644e-05    -5.021392771521522e-07     
Lambda        AB|SDSS|SDSS_u            3172.8102022056205    All      -4.800281050486711e-05    4.102169200587361e-05     0.0001413168477346756     3.5304531156479246e-05     
Lambda        AB|SDSS|SDSS_r            5451.660449386623     All      0.00021959627989624392    6.547220607751215e-05     -0.0001985622542848704    -5.9064202819465476e-05    
MWEBV         All|All|All               All                   All      -0.7387110044008098       -3.4222506775687833       0.3394860452285272        -0.8589674543881647        
Redshift      All|All|All               All                   All      3.1246885514962934        -0.2788793384898014       2.387745182897107         -1.0020999348303554        
