#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            5469.611561350716     All      0.890055848516554         0.3246246520378193         -0.2293271603964109       -0.19441336073389023       
Zeropoint     AB|SDSS|SDSS_i            6632.860008876656     All      0.8595719370330059        0.022183236469608403       0.4977463851295084        -0.2505529139415814        
Zeropoint     AB|SDSS|SDSS_u            3183.2575643825917    All      -0.10808599957483467      0.0801636211113177         0.24704476688414623       0.07234356799650828        
Zeropoint     AB|SDSS|SDSS_z            7885.917644280782     All      0.12622516355950314       -0.0018312659603836323     0.10608009630841429       -0.03697832453603714       
Zeropoint     AB|SDSS|SDSS_g            4185.817049373496     All      -0.7740008054844094       0.5756753009272586         -0.6114703396329287       0.41234679800715207        
Check         All|All|All               All                   All      0.9937661440498191        1.0008155445856204         0.010073748292729334      0.002745766792151494       
Lambda        AB|SDSS|SDSS_r            5469.611561350716     All      0.0001928413469538089     6.371591383090883e-05      9.166927963980516e-05     -3.7969622740145524e-05    
Lambda        AB|SDSS|SDSS_i            6632.860008876656     All      -0.0003556202738985777    -1.1932402661018698e-05    -0.0002969312610152692    9.869976823402839e-05      
Lambda        AB|SDSS|SDSS_u            3183.2575643825917    All      -7.090595651170719e-05    5.335248356853774e-05      0.0001677620946102901     4.79615136944152e-05       
Lambda        AB|SDSS|SDSS_z            7885.917644280782     All      8.705905773558949e-06     9.987834748398027e-07      2.374538947709316e-05     -1.4508156157515907e-06    
Lambda        AB|SDSS|SDSS_g            4185.817049373496     All      -0.0006393769839895317    0.00022677125157150632     -0.002099021305537408     0.00018846329534280557     
MWEBV         All|All|All               All                   All      -0.7936115119883791       -3.4083193537794543        0.4159191648101818        -0.8331358033264106        
Redshift      All|All|All               All                   All      2.613797367362213         -0.3764901421391187        -1.239171316808119        -1.0293335439426854        
