#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6342.98772183647      All      1.080503941715317          -0.009467899961279613     -0.1536840152324641        -0.36189789959721314      
Zeropoint     AB|SDSS|SDSS_r            5230.576090921921     All      0.7809789978225533         0.4370595529010757        0.33200224436297787        -0.09721014248982074      
Zeropoint     AB|SDSS|SDSS_g            4002.8865548945096    All      -0.9048764925932458        0.5539958620394358        -0.3611928428377299        0.45908434370160023       
Zeropoint     AB|SDSS|SDSS_u            3044.141383852523     All      -0.050816995417777254      0.022244410652483282      0.05573963420237476        0.026285907477519833      
Zeropoint     AB|SDSS|SDSS_z            7541.283658353289     All      0.0868081127021956         -0.003999133519805298     0.12822350087802284        -0.023856881629222074     
Check         All|All|All               All                   All      0.992597564229043          0.9998327921119099        0.001088521373181467       0.002405327462864114      
Lambda        AB|SDSS|SDSS_i            6342.98772183647      All      -0.0004053472090840587     -6.024777025693837e-06    -0.0005078545353871621     0.00010740923801639205    
Lambda        AB|SDSS|SDSS_r            5230.576090921921     All      0.00017749787683723442     8.183989424690149e-05     -0.0007459209732450824     -6.444597912863494e-05    
Lambda        AB|SDSS|SDSS_g            4002.8865548945096    All      -0.0008065991312085875     0.00037571009144143637    -0.001063528025464899      0.0003376566394662321     
Lambda        AB|SDSS|SDSS_u            3044.141383852523     All      -5.176556245586027e-05     2.3042614258150025e-05    6.592420756124681e-05      2.7309378876189288e-05    
Lambda        AB|SDSS|SDSS_z            7541.283658353289     All      -1.1846347590633584e-05    3.2560302829207187e-07    -2.3210891949863242e-05    2.9290092579134825e-06    
MWEBV         All|All|All               All                   All      -0.6803584830277081        -3.2656449534835374       0.17907057831171688        -0.8341217593573695       
Redshift      All|All|All               All                   All      5.818981164202941          -0.6702005975609993       -2.1622912182873617        -2.210233113573065        
