#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3573.9658893423116    All      -0.41571761104043203       0.15943305998575852       -0.07718701897511115       0.18390099329856688        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5342.337226377185     All      0.6777992648037242         0.15832602086307546       -0.1760542592384562        -0.1770660187154128        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7561.066009471853     All      0.32027896892465146        -0.03348019751117093      0.10971745603096661        -0.11033481269041694       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6184.146485518828     All      1.0617134654385647         -0.0536341198226431       0.09016325084092447        -0.35928183058501667       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4777.420007772386     All      -0.22260505461315538       0.48108210948374364       0.30482773776594474        0.24281712187975033        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4373.299487857226     All      -0.45637295830621316       0.2926189517910238        -0.26674455012999365       0.2320677220617029         
Check         All|All|All                              All                   All      0.9650960752071399         1.0043458247897874        -0.015277383705725178      0.012103175249173675       
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3573.9658893423116    All      -0.00041249899549555005    0.00013405540367891956    -0.00018057730489855447    0.0001699724131607061      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5342.337226377185     All      0.00023831617637882683     1.112359352357961e-05     -0.0007678287047123494     -0.00010826876723154369    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7561.066009471853     All      -6.121755786579373e-05     6.513054749074651e-06     -3.3179356728286344e-05    2.0581446496121548e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6184.146485518828     All      -4.167659367408327e-05     -5.508593367781926e-06    -0.00014448521744303986    5.333395933747518e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4777.420007772386     All      -6.287880648093771e-05     -5.286976097132237e-05    -0.0011581863886048595     -4.842426375545617e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4373.299487857226     All      -0.00026129213506056217    5.177514490699055e-05     -0.001068446058119758      5.429647231437977e-05      
MWEBV         All|All|All                              All                   All      -1.1102431041353058        -3.9927300439309477       -0.0024853726061424553     -0.9390317380595061        
Redshift      All|All|All                              All                   All      4.076273685539693          1.1898534827366802        8.360742596048231          -0.5671004778972003        
