#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3573.9658893423116    All      -0.3399445653688091        0.13727929452960197        -0.039885409660816565      0.15366760872145904       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5342.337226377185     All      0.6526352639830381         0.16934465823443823        -0.17684035387622982       -0.1653152228761053       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7561.066009471853     All      0.3068110633198595         -0.029991885069291513      0.14036298326945906        -0.10344404549877367      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6184.146485518828     All      1.0493232649118738         -0.04872179236512508       0.12515531000271493        -0.35208429309662115      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4777.420007772386     All      -0.24303155606155014       0.47943852293372835        0.1481673815774794         0.24194430301999778       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4373.299487857226     All      -0.4321060670659761        0.2909299557360967         -0.19606716597323576       0.22676704269177184       
Check         All|All|All                              All                   All      0.993687403718436          0.9982787539994487         0.0008927453393712814      0.0015353929617285267     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3573.9658893423116    All      -0.0003973414766342762     0.00011522057238618136     -0.00045591275657079646    0.00014661302976229918    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5342.337226377185     All      0.000215080170098357       2.40364451105503e-05       -0.000649208104597201      -9.120040238359065e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7561.066009471853     All      -6.065316426303927e-05     5.458047819860505e-06      -3.386972915168401e-05     2.0023146315673964e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6184.146485518828     All      -8.508504018409318e-05     -1.0815841201437484e-05    -0.00021565100107309902    1.4568407764052484e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4777.420007772386     All      -0.00011977051927484169    -6.864988180839772e-05     -0.0015340076088512242     -5.18040406990794e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4373.299487857226     All      -0.00024359588967277435    6.013895621916236e-05      -0.0008368825449474132     6.159020756812415e-05     
MWEBV         All|All|All                              All                   All      -1.101561156621325         -3.9891413409594456        0.02471539147207469        -0.9394769301975395       
Redshift      All|All|All                              All                   All      4.476277534510082          1.2161721248501678         8.519480752349299          -0.681738288790899        
