#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6723.291696567977     All      0.8926484289919938        -0.008987484991074268      0.279270655166064         -0.2812299134284421       
Zeropoint     AB|SDSS|SDSS_u            3226.6577497502963    All      -0.17243158801126135      0.10159461976453343        0.09788008759648026       0.09362728982948293       
Zeropoint     AB|SDSS|SDSS_g            4242.886021074296     All      -0.6358544304260486       0.6460481360157644         0.151326515589445         0.42431084660507074       
Zeropoint     AB|SDSS|SDSS_r            5544.183646973956     All      0.7221261220888385        0.27307032963790334        -0.5935428863372838       -0.1727593380713821       
Zeropoint     AB|SDSS|SDSS_z            7993.433382682119     All      0.19177229100752322       -0.014625547032487418      0.0606653010239655        -0.06452335237776136      
Check         All|All|All               All                   All      0.9982608236510453        0.9971000533946395         -0.004400326961329082     -0.0005744674430319119    
Lambda        AB|SDSS|SDSS_i            6723.291696567977     All      -0.0005298822319258731    -3.9239348381174144e-05    -0.0007726822644932952    0.00012533726817886564    
Lambda        AB|SDSS|SDSS_u            3226.6577497502963    All      -6.462523651656049e-05    3.681717262815589e-05      4.501569936897182e-05     3.505197392777378e-05     
Lambda        AB|SDSS|SDSS_g            4242.886021074296     All      -0.0003605358467344927    0.00020156159166118736     -0.0005371155762479939    0.0001591246268565814     
Lambda        AB|SDSS|SDSS_r            5544.183646973956     All      7.063086966052409e-05     -3.5629811957190496e-05    -0.001011780005695493     -7.976369459218149e-05    
Lambda        AB|SDSS|SDSS_z            7993.433382682119     All      5.918914866770372e-06     2.7444759934427994e-06     4.045752924784126e-05     7.714145386406127e-07     
MWEBV         All|All|All               All                   All      -0.8397646099415685       -3.49956657969539          0.03713297094938284       -0.8647279324865655       
Redshift      All|All|All               All                   All      3.109825099753911         0.6795969479638231         -0.9166712367474128       -0.8325120883467374       
