#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_z            7499.910899305575    All      0.07032960590124625        0.005725653134192044       0.1550893788933666        -0.014122706142886965     
Zeropoint     AB|SDSS|SDSS_g            3980.926041481446    All      -0.9195688286235235        0.5535338112263588         -0.5206085038218039       0.4566056269792493        
Zeropoint     AB|SDSS|SDSS_i            6308.189017193201    All      0.9386178001827463         0.05006711830084498        -0.08934744031265096      -0.2934173554412816       
Zeropoint     AB|SDSS|SDSS_r            5201.880264840543    All      1.002032920973975          0.37293225122390083        0.5862166011401909        -0.17875863042145534      
Zeropoint     AB|SDSS|SDSS_u            3027.440708783525    All      -0.10069757246342716       0.017167561337316783       -0.1368880863389904       0.03228386513755774       
Check         All|All|All               All                  All      0.9907139259710167         0.9994263952226135         -0.005538050439887754     0.0025908001111830947     
Lambda        AB|SDSS|SDSS_z            7499.910899305575    All      -1.9903084536527493e-06    3.594424029196133e-06      8.910065844787943e-05     5.79528426391152e-06      
Lambda        AB|SDSS|SDSS_g            3980.926041481446    All      -0.0008231337371454172     0.00031414968067108786     -0.0022232541178344163    0.00027123700445380784    
Lambda        AB|SDSS|SDSS_i            6308.189017193201    All      -0.0003061896719953158     -2.1334657054328642e-05    -0.0003323750600750496    7.795427743019719e-05     
Lambda        AB|SDSS|SDSS_r            5201.880264840543    All      0.0002519132426057934      7.057956013760538e-05      0.000196391056656736      -5.030231521375088e-05    
Lambda        AB|SDSS|SDSS_u            3027.440708783525    All      -8.551337081082033e-05     2.790711013778606e-05      8.754785431707491e-05     4.0851640713369925e-05    
MWEBV         All|All|All               All                  All      -0.7588187555360597        -3.2292995026931948        0.1383279817294497        -0.798543913244365        
Redshift      All|All|All               All                  All      4.11831529276301           -0.41962468117411333       -8.172734432354291        -1.8428679450064045       
